sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Magnesium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel Cast Iron (15-35Ni)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel-Copper (400)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Cr-Fe Alloy (600/ 690)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 15";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Cr-Fe Alloy (600/ 690)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"45 – 50";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Silicon Cast Iron (14Si)";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Silver";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 192";"<20";"no air, oxygen";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Steels, Carbon/ Low Alloy";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"stress cracks";"5 – 50";"52 – 237";"<20";">7 pH";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Titanium, Unalloyed";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Zirconium";"magnesium nitrate";"10377-60-3";"MgN2O6";"salts";"";"5 – 50";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
