sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Vinyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Gold/ Platinum";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 475";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Lead";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel (200)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel Cast Iron (15-35Ni)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel-Copper (400)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Cr-Fe Alloy (600/ 690)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Mo Alloy (Ni-30Mo; B-2)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silicon Cast Iron (14Si)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"52 – 100";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silicon Cast Iron (14Si)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"100 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silver";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Steels, Carbon/ Low Alloy";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 475";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
