sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lithium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"35 – 45";"225 – 275";"<20";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"45 – 95";"225 – 275";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Brass (>15Zn)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 25";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Brass (>15Zn)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"15 – 25";"225 – 275";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Brass (>15Zn)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"35 – 45";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Brass (>15Zn)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"55 – 65";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Brass (>15Zn)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"75 – 85";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cast Iron, Gray/ Ductile";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 15";"25 – 225";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cast Iron, Gray/ Ductile";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 95";"25 – 75";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Copper/ Bronze/ Low Brass";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 25";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper/ Bronze/ Low Brass";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"35 – 45";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Copper/ Bronze/ Low Brass";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"55 – 65";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Copper/ Bronze/ Low Brass";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"75 – 85";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Copper-Nickel";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"15 – 25";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Copper-Nickel";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"35 – 45";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Copper-Nickel";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"55 – 65";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Copper-Nickel";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"75 – 85";"25 – 225";"20 – 50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Cr Stainless Steel (12Cr)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 45";"225 – 275";">50";"";"67,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Cr Stainless Steel (17Cr)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 15";"225 – 275";"<20";"";"67,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Cr Stainless Steel (17Cr)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"15 – 45";"225 – 275";">50";"";"67,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Duplex Stainless Steel (25-6-3)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"<60";"239";"<2";"";"67,182,210";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Gold/ Platinum";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 35";"25 – 275";"<2";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Gold/ Platinum";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"35 – 45";"25 – 275";"<20";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Gold/ Platinum";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"45 – 95";"225 – 275";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Lead";"lithium chloride";"7447-41-8";"ClLi";"salts";"pitting; stress corrosion cracking";"5 – 15";"225 – 275";"<2";"";"67,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Lead";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"35 – 45";"225 – 275";"<2";"";"67,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Nickel (200)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 95";"25 – 75";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Nickel (200)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"25 – 35";"25 – 225";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Nickel Cast Iron (15-35Ni)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"25 – 35";"25 – 125";"<2";"";"67,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nickel Cast Iron (15-35Ni)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"25 – 35";"125 – 175";"<20";"";"67,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel Cast Iron (15-35Ni)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"25 – 35";"175 – 225";"20 – 50";"";"67,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel-Copper (400)";"lithium chloride";"7447-41-8";"ClLi";"salts";"";"5 – 15";"25 – 225";">50";"";"67,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
