sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Turpentine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Glass, Chemical";"";"turpentine";"";"solvents";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nylon";"";"turpentine";"";"solvents";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polychloroprene";"";"turpentine";"";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyesters, Glass Fiber-Reinforced";"";"turpentine";"";"solvents";"1";"recommended";">10";"50 – 120";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyethylene (PE)";"";"turpentine";"";"solvents";"2";"questionable; minor stress cracking";"100";"60 – 70";"";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"";"turpentine";"";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polypropylene (PP)";"";"turpentine";"";"solvents";"1";"recommended; discolored; swollen; weight gain";"100";"60 – 70";"<6";"intermittent exposure";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polypropylene (PP)";"";"turpentine";"";"solvents";"2";"questionable";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polypropylene (PP)";"";"turpentine";"";"solvents";"3";"not recommended";"100";"125 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinyl Chloride (PVC)";"";"turpentine";"";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinylidene Fluoride (PVDF)";"Kynar";"turpentine";"";"solvents";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Butyl (BR)";"";"turpentine";"";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Natural (NR)";"";"turpentine";"";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Styrene Acrylonitrile Copolymer (SAN)";"";"turpentine";"";"solvents";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Styrene Acrylonitrile Copolymer (SAN)";"";"turpentine";"";"solvents";"3";"not recommended";"100";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Vinyl Ester Resins";"";"turpentine";"";"solvents";"1";"recommended";"100";"50 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Wood";"";"turpentine";"";"solvents";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
