sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel (200)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel Cast Iron (15-35Ni)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel Cast Iron (15-35Ni)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel Cast Iron (15-35Ni)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"100";"25 – 75";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 45";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"45 – 55";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 45";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Cr-Fe Alloy (600/ 690)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"45 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 15";"52 – 102";"20 – 50";"84,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silver";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 55";"25 – 225";"<2";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 35";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Steels, Carbon/ Low Alloy";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"45 – 55";"25 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Steels, Carbon/ Low Alloy";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"55 – 65";"175 – 225";"<20";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Tantalum";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 15";"25 – 75";"<2";"84,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Titanium, Unalloyed";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"5 – 10";"68";"<2";"84,194";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Titanium, Unalloyed";"sodium bromide";"7647-15-6";"BrNa";"salts";"";"20";"176";"<2";"84,194";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
