sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cellulose Acetate Butyrate";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended";"100";"60 – 70";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"chlorine";"wet";"7782-50-5";"Cl2";"1";"recommended";"100";"50 – 80";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"chlorine";"chlorine water (saturated)";"7782-50-5";"Cl2";"1";"recommended";"100";"100";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"chlorine";"dry";"7782-50-5";"Cl2";"1";"recommended; exposed <six months; recommended for chlorine process absorbers";"100";"140";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"chlorine";"chlorine water (saturated)";"7782-50-5";"Cl2";"1";"recommended";"100";"150";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"chlorine";"chlorine water (saturated)";"7782-50-5";"Cl2";"1";"recommended";"100";"190";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"chlorine";"dry, water (saturated)";"7782-50-5";"Cl2";"1";"recommended";"100";"200";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"chlorine";"wet";"7782-50-5";"Cl2";"1";"recommended";"100";"220";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"chlorine";"gas, wet";"7782-50-5";"Cl2";"1";"recommended";"100";"50 – 75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"chlorine";"chlorine water (saturated)";"7782-50-5";"Cl2";"1";"recommended";"100";"100";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"chlorine";"chlorine water (saturated)";"7782-50-5";"Cl2";"1";"recommended";"100";"195";"";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"100";"285";"";"fumes, wet";"16";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Chlorinated Polyvinyl Chloride (CPVC)";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"10";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Chlorinated Polyvinyl Chloride (CPVC)";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended";"100";"-31";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Chlorinated Polyvinyl Chloride (CPVC)";"";"chlorine";"liquid";"7782-50-5";"Cl2";"3";"not recommended";"100";"70 – 212";"";"liquid";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Chlorosulfonated Polyethylene";"";"chlorine";"wet, saturated";"7782-50-5";"Cl2";"1";"recommended";"0.5 – 5";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Chlorosulfonated Polyethylene";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended; liquid, wet not recommended, gas 21°C (70°F)";"100";"60 – 70";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Concrete";"";"chlorine";"";"7782-50-5";"Cl2";"2";"questionable";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Epoxy Cements";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Epoxy Cements";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"25";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Epoxy Cements";"";"chlorine";"";"7782-50-5";"Cl2";"2";"questionable";"50";"68";"<6";"chlorine water, saturated with water";"5";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended; over 3 years";"any";"0 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Epoxy Resin, Glass Fiber- Reinforced";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"";"200";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Epoxy Resin, Glass Fiber- Reinforced";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended";"10";"60 – 70";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Epoxy Resin, Glass Fiber- Reinforced";"";"chlorine";"";"7782-50-5";"Cl2";"3";"not recommended";"100";"70 – 80";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Epoxy Resin, Glass Fiber- Reinforced";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"100";"80 – 90";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Epoxy Resin, Glass Fiber- Reinforced";"";"chlorine";"dry";"7782-50-5";"Cl2";"1";"recommended";"100";"90 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"chlorine";"wet";"7782-50-5";"Cl2";"1";"recommended; dry recommended to 149°C (300°F)";"any";"250 – 350";"[>12]";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended; weight gain, strength loss";"100";"32 – 200";"";"no water";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended; steady state reached in one week exposure";"100";"200 – 250";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"3";"70 – 150";"<1";"no water; wet chlorine rec. 0-100%, -17.8-148°C (0-300°F) >12 mos, TEFLON FEP";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"100";"70 – 235";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended; discolored, strength loss";"100";"235 – 250";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Fluororubber";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"0.5 – 5";"60 – 70";"";"wet, saturated";"1";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Fluororubber";"";"chlorine";"liquid";"7782-50-5";"Cl2";"1";"recommended";"100";"-31";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Fluororubber";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"100";"60 – 70";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Furan Resins";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"10";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Furan Resins";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"25";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Furan Resins";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"50";"68";"<6";"chlorine water, saturated with water";"5";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"chlorine";"";"7782-50-5";"Cl2";"1";"recommended";"10";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
