sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aminoethylethanolamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Ni-Cr-Fe Alloy (600/ 690)";"aminoethylethanolamine";"amines";"";"5 – 15";"175 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Cr-Fe Alloy (600/ 690)";"aminoethylethanolamine";"amines";"";"100";"25 – 175";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"aminoethylethanolamine";"amines";"";"100";"175 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silicon Cast Iron (14Si)";"aminoethylethanolamine";"amines";"";">5";"52 – 147";"<2";"217,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silicon Cast Iron (14Si)";"aminoethylethanolamine";"amines";"";"100";"52 – 237";"<2";"217,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Steels, Carbon/ Low Alloy";"aminoethylethanolamine";"amines";"";"5 – 15";"175 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Superferritic Stainless Steel (26-1)";"aminoethylethanolamine";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Titanium, Unalloyed";"aminoethylethanolamine";"amines";"";">5";"75 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Titanium, Unalloyed";"aminoethylethanolamine";"amines";"";"100";"75 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
