sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium fluorosilicate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"ammonium fluorosilicate";"";"5 – 15";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"ammonium fluorosilicate";"";"15 – 25";"25 – 125";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"ammonium fluorosilicate";"";"5 – 15";"25 – 125";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium fluorosilicate";"";"15 – 25";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium fluorosilicate";"";"15 – 25";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium fluorosilicate";"";"15 – 25";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium fluorosilicate";"";"15 – 25";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium fluorosilicate";"";"15 – 25";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"ammonium fluorosilicate";"";"5 – 15";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel-Copper (400)";"ammonium fluorosilicate";"";"15 – 25";"25 – 125";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium fluorosilicate";"";"15 – 25";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Silver";"ammonium fluorosilicate";"";"5 – 15";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Steels, Carbon/ Low Alloy";"ammonium fluorosilicate";"";"15 – 25";"125 – 175";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Zirconium";"ammonium fluorosilicate";"";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
