sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Antimony trichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silicon Cast Iron (14Si)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 85";"52 – 102";"<2";"32,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 85";"102 – 237";"<20";"32,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silicon Cast Iron (14Si)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"85 – 95";"187 – 237";"<20";"32,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Silver";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 15";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Steels, Carbon/ Low Alloy";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"pitting";"5 – 35";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Steels, Carbon/ Low Alloy";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";">85";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Steels, Carbon/ Low Alloy";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 175";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Superferritic Stainless Steel (26-1)";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"100";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Tantalum";"antimony trichloride";"antimony chloride";"10025-91-9";"Cl3Sb";"";"5 – 85";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
