sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium peroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 70";"25 – 75";">50";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<2";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<2";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Duplex Stainless Steel (25-6-3)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"10";"68 – 212";"<2";"92,198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Gold/ Platinum";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 70";"25 – 225";"<2";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 70";"25 – 75";">50";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel Cast Iron (15-35Ni)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel-Copper (400)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Cr-Fe Alloy (600/ 690)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<20";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"52 – 237";"<20";"92,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Steels, Carbon/ Low Alloy";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"75 – 225";"<20";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 70";"25 – 75";"<2";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Superferritic Stainless Steel (26-1)";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 225";"<2";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Tantalum";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 15";"25 – 75";"20 – 50";"92,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Titanium, Unalloyed";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"10";"68";"20 – 50";"92,198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Titanium, Unalloyed";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"10";"212";">50";"92,198";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Zirconium";"sodium peroxide";"1313-60-6";"Na2O2";"oxidizing agents";"";"5 – 70";"25 – 225";"<2";"92,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
