sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"75 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Gold/ Platinum";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel (200)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"75 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel Cast Iron (15-35Ni)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel Cast Iron (15-35Ni)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"75 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel-Copper (400)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"75 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Mo Alloy (Ni-30Mo; B-2)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"5";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silver";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Steels, Carbon/ Low Alloy";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"benzyl alcohol";"phenylmethanol";"100-51-6";"C7H8O";"alcohols";"";"100";"175 – 225";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
