sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"15 – 85";"25 – 175";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"15 – 85";"25 – 175";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel (200)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"5 – 15";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel (200)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"15 – 85";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel-Copper (400)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"5 – 85";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"15 – 85";"25 – 175";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Silicon Cast Iron (14Si)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"5 – 15";"187 – 237";"20 – 50";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Silver";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"5 – 85";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silver";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"85 – 95";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Steels, Carbon/ Low Alloy";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"15 – 85";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Superferritic Stainless Steel (26-1)";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"65 – 75";"25 – 75";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Tantalum";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"5 – 15";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Zirconium";"ammonium bromide";"12124-97-9";"BrH4N";"salts";"";"5 – 15";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
