sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfur dioxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Gold/ Platinum";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"<2";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 425";"<2";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"20 – 50";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"20 – 50";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"20 – 50";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"20 – 50";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"20 – 50";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel Cast Iron (15-35Ni)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 125";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel Cast Iron (15-35Ni)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"125 – 475";"20 – 50";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Niobium (Columbium)";"sulfur dioxide";"wet";"7446-09-05";"O2S";"gases";"dry is ";"100";"0 – 140";"<2";"102,131,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Niobium (Columbium)";"sulfur dioxide";"wet";"7446-09-05";"O2S";"gases";"";"100";"140 – 500";"20 – 50";"102,131,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"52 – 102";">50";"102,131,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silver";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 75";"<2";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silver";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"175 – 225";">50";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 125";"<2";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"125 – 475";"<20";"102,131,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Tantalum";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"25 – 475";"<2";"102,131,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Titanium, Unalloyed";"sulfur dioxide";"";"7446-09-05";"O2S";"gases";"";"100";"77";"<2";"102,131,200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Titanium, Unalloyed";"sulfur dioxide";"wet gas";"7446-09-05";"O2S";"gases";"";"100";"212";"<2";"102,131,200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
