sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"15 – 25";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 35";"187 – 237";"<2";"no air, oxygen";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"15 – 25";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 40";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 40";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 40";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 40";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 40";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel (200)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel Cast Iron (15-35Ni)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel-Copper (400)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Cr-Fe Alloy (600/ 690)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 40";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Ni-Mo Alloy (Ni-30Mo; B-2)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silicon Cast Iron (14Si)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 35";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silicon Cast Iron (14Si)";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silver";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 35";"187 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Silver";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"15 – 25";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Steels, Carbon/ Low Alloy";"methyl acetate";"79-20-9";"C3H6O2";"esters";"discolors when wet";"100";"52 – 147";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Titanium, Unalloyed";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 35";"187 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Titanium, Unalloyed";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"15 – 25";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Titanium, Unalloyed";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"100";"52 – 147";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Zirconium";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"5 – 35";"187 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Zirconium";"methyl acetate";"79-20-9";"C3H6O2";"esters";"";"15 – 25";"52 – 237";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
