sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium bifluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium bifluoride";"";"5 – 15";"175 – 225";">50";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium bifluoride";"";"25 – 35";"175 – 225";">50";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium bifluoride";"";"5 – 15";"25 – 125";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium bifluoride";"";"5 – 15";"175 – 225";">50";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium bifluoride";"";"25 – 35";"175 – 225";">50";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Brass (>15Zn)";"ammonium bifluoride";"";"5 – 15";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cast Iron, Gray/ Ductile";"ammonium bifluoride";"";"5 – 15";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"ammonium bifluoride";"";"85 – 95";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper/ Bronze/ Low Brass";"ammonium bifluoride";"";"5 – 15";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper-Nickel";"ammonium bifluoride";"";"5 – 15";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (12Cr)";"ammonium bifluoride";"pitting";"5 – 15";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cr Stainless Steel (17Cr)";"ammonium bifluoride";"pitting";"5 – 15";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Lead";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Lead";"ammonium bifluoride";"";"5 – 15";"175 – 225";">50";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium bifluoride";"";"45 – 95";"25 – 425";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium bifluoride";"";"45 – 95";"25 – 425";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium bifluoride";"";"45 – 95";"25 – 425";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium bifluoride";"";"45 – 95";"25 – 425";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium bifluoride";"";"45 – 95";"25 – 425";"<20";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel (200)";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<2";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel Cast Iron (15-35Ni)";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<20";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"ammonium bifluoride";"";"5 – 15";"25 – 225";"<20";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium bifluoride";"";"5 – 15";"25 – 75";"<2";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ammonium bifluoride";"";"5 – 15";"25 – 225";"<2";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silver";"ammonium bifluoride";"";"5 – 15";"25 – 175";"<2";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Steels, Carbon/ Low Alloy";"ammonium bifluoride";"";"5 – 15";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Steels, Carbon/ Low Alloy";"ammonium bifluoride";"";"85 – 95";"25 – 75";">50";"134,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Titanium, Unalloyed";"ammonium bifluoride";"";"5 – 15";"25 – 75";">50";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
