sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"34";"Glass, Chemical";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; weight loss";"3";"70 – 175";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Glassed Steel";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; recommended ~1-3%, ";">10";"50 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Glassed Steel";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended";">10";"200 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Nylon";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Perfluoroalkoxy Resins";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; steady state reached in exposure time";"90";"32 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Phenolic Resins, Asbestos-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Phenolic Resins, Asbestos-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended; Haveg 61 recommended at 66°C (151°F)";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; slight weight/volume change";"4";"160";"";"60 days, liquid, pH 11.6";"3";"";"";"";"";"";"";"";"";"";"";""
"42";"Polychloroprene";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"100";"70 – 80";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Polyesters, Glass Fiber-Reinforced";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; recommended 50%, >9 months, 21°C (70°F)";"10 – 50";"50 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
