sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Arsenic trichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cast Iron, Gray/ Ductile";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cast Iron, Gray/ Ductile";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"85 – 95";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper/ Bronze/ Low Brass";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper/ Bronze/ Low Brass";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper-Nickel";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (12Cr)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (12Cr)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cr Stainless Steel (17Cr)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (17Cr)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Gold/ Platinum";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"175 – 275";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"25 – 35";"25 – 75";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"85 – 95";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";">95";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"25 – 35";"25 – 75";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"85 – 95";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";">95";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"25 – 35";"25 – 75";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"85 – 95";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";">95";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"25 – 35";"25 – 75";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"85 – 95";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";">95";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"25 – 35";"25 – 75";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"85 – 95";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";">95";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Nickel (200)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 25";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nickel (200)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"100";"25 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel Cast Iron (15-35Ni)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel-Copper (400)";"arsenic trichloride";"arsenic chloride";"7784-34-1";"AsCl3";"5 – 15";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
