sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Naphthalene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel Cast Iron (15-35Ni)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel-Copper (400)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Cr-Fe Alloy (600/ 690)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"375 – 425";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Niobium (Columbium)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 212";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silicon Cast Iron (14Si)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 237";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Steels, Carbon/ Low Alloy";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 325";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Superferritic Stainless Steel (26-1)";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Tantalum";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Tantalum";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"375 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Titanium, Unalloyed";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Zirconium";"naphthalene";"91-20-3";"C10H8";"aromatics";"100";"175 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
