sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Perchloric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 60";"77";">50";"73,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 15";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 15";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Brass (>15Zn)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 65";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Brass (>15Zn)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cast Iron, Gray/ Ductile";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 45";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";">85";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper/ Bronze/ Low Brass";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 65";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper/ Bronze/ Low Brass";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper-Nickel";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 65";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper-Nickel";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (12Cr)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 15";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cr Stainless Steel (12Cr)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (17Cr)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 15";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (17Cr)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 225";"<2";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 225";"<2";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 225";"<2";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 225";"<2";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 225";"<2";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel (200)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 65";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel Cast Iron (15-35Ni)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 75";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel Cast Iron (15-35Ni)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 65";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 65";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Cr-Fe Alloy (600/ 690)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";">5";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Niobium (Columbium)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"<70";"0 – 212";"<2";"73,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"perchloric acid";"vapor";"7601-90-3";"ClHO4";"inorganic acids";"5 – 75";"52 – 237";"<2";"73,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silicon Cast Iron (14Si)";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"52 – 147";"<2";"73,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"5 – 75";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Steels, Carbon/ Low Alloy";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"100";"25 – 75";">50";"73,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Titanium, Unalloyed";"perchloric acid";"";"7601-90-3";"ClHO4";"inorganic acids";"10";"68";"<2";"73,187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
