sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyric anhydride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel Cast Iron (15-35Ni)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel-Copper (400)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Cr-Fe Alloy (600/ 690)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Mo Alloy (Ni-30Mo; B-2)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silicon Cast Iron (14Si)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"52 – 237";"<2";"208,209,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silver";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Steels, Carbon/ Low Alloy";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Superferritic Stainless Steel (26-1)";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Tantalum";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Titanium, Unalloyed";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Zirconium";"butyric anhydride";"butanoic anhydride";"106-31-0";"C8H14O3";"anhydrides";"100";"25 – 225";"<2";"208,209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
