sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acrylonitrile";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Silicon Cast Iron (14Si)";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Silver";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Steels, Carbon/ Low Alloy";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Tantalum";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Titanium, Unalloyed";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Zirconium";"acrylonitrile";"propenenitrile";"107-13-1";"C3H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
