sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Polypropylene (PP)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"31";"Polypropylene (PP)";"ammonium carbonate";"";"saturated";"506-87-6";"CH8N2O3";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Polypropylene (PP)";"ammonium chloride";"sal ammoniac";"saturated";"12125-02-9";"ClH4N";"salts";"1";"recommended";"10 – 30";"32 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Polypropylene (PP)";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"10 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Polypropylene (PP)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"20";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Polypropylene (PP)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Polypropylene (PP)";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Polypropylene (PP)";"ammonium nitrate";"";"saturated";"6484-52-2";"H4N2O3";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Polypropylene (PP)";"ammonium nitrate";"";"";"6484-52-2";"H4N2O3";"salts";"1";"recommended";"100";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Polypropylene (PP)";"ammonium phosphate";"";"saturated";"";"";"salts";"1";"recommended";"10 – 60";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Polypropylene (PP)";"ammonium phosphate";"";"";"";"";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Polypropylene (PP)";"ammonium sulfate";"";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Polypropylene (PP)";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";"100";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Polypropylene (PP)";"ammonium sulfide";"";"saturated";"12135-76-1";"H8N2S";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Polypropylene (PP)";"ammonium sulfide";"";"";"12135-76-1";"H8N2S";"salts";"1";"recommended";"100";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Polypropylene (PP)";"ammonium thiocyanate";"ammonium rhodanide";"saturated";"1762-95-4";"CH4N2S";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Polypropylene (PP)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"2";"questionable; weight gain";"100";"60 – 75";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Polypropylene (PP)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"2";"questionable";"100";"75 – 150";"";"intermittent exposure";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Polypropylene (PP)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Polypropylene (PP)";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"1";"recommended";"100";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Polypropylene (PP)";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
