sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetylene chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Gold/ Platinum";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Lead";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"52 – 237";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel (200)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel Cast Iron (15-35Ni)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel-Copper (400)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Cr-Fe Alloy (600/ 690)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Mo Alloy (Ni-30Mo; B-2)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Silicon Cast Iron (14Si)";"acetylene chloride";"halogenated aliphatics";"";"";"100";"52 – 237";"<2";"32,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silver";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Steels, Carbon/ Low Alloy";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Tantalum";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Titanium, Unalloyed";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Zirconium";"acetylene chloride";"halogenated aliphatics";"";"";"100";"25 – 225";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
