sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Manganese sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (12Cr)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 50";"25 – 75";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (17Cr)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 25";"175 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cr Stainless Steel (17Cr)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 50";"25 – 75";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Duplex Stainless Steel (25-6-3)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"<40";"230";"<2";"boiling point";"183";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Gold/ Platinum";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 25";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Gold/ Platinum";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"175 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Gold/ Platinum";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"35 – 45";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Lead";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 25";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Lead";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"175 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Lead";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"35 – 45";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel (200)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 35";"25 – 225";"<20";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel Cast Iron (15-35Ni)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 35";"25 – 225";"<20";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel-Copper (400)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 35";"25 – 225";"<20";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silicon Cast Iron (14Si)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 15";"52 – 102";"<2";"";"215,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silicon Cast Iron (14Si)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"187 – 237";"<2";"";"215,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Silicon Cast Iron (14Si)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"45 – 50";"52 – 237";"<2";"";"215,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silver";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 25";"25 – 225";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silver";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"175 – 225";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silver";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"35 – 45";"25 – 225";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Steels, Carbon/ Low Alloy";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 35";"25 – 75";"<20";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Steels, Carbon/ Low Alloy";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"15 – 35";"175 – 225";"20 – 50";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Superferritic Stainless Steel (26-1)";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"25 – 75";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Tantalum";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 25";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Tantalum";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"5 – 50";"175 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Tantalum";"manganese sulfate";"7785-87-7";"MnO4S";"salts";"35 – 45";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
