sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitrohydrochloric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polypropylene (PP)";"nitrohydrochloric acid";"inorganic acids";"2";"questionable; may stress crack";"100";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyvinyl Chloride (PVC)";"nitrohydrochloric acid";"inorganic acids";"2";"questionable";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyvinyl Chloride (PVC)";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyvinylidene Fluoride (PVDF)";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Rubber, Butyl (BR)";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Rubber, Natural (NR)";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Wood";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
