sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium chlorite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"3";"not recommended";"100";"75";"";"19";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"3";"not recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"2";"questionable";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyesters, Glass Fiber-Reinforced";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"2";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyesters, Glass Fiber-Reinforced";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"20";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyesters, Glass Fiber-Reinforced";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"50";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyethylene (PE)";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"100";"70 – 125";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polypropylene (PP)";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended; recommended also for 2-5%";"10 – 20";"60 – 175";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinyl Chloride (PVC)";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Butyl (BR)";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Rubber, Natural (NR)";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"3";"not recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Vinyl Ester Resins";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"10";"150";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Vinyl Ester Resins";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"50";"100";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
