sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonia";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"26";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 150";"";"no water";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"27";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ammonia";"vapor";"7664-41-7";"H3N";"bases";"1";"recommended";"10";"70 – 250";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"28";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 150";"";"no water";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"29";"Fluororubber";"";"ammonia";"saturated";"7664-41-7";"H3N";"bases";"2";"questionable";"10";"90 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Fluororubber";"";"ammonia";"";"7664-41-7";"H3N";"bases";"3";"not recommended";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Fluororubber";"";"ammonia";"";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"-28.5";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Fluororubber";"";"ammonia";"liquid";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"15 – 32";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Fluororubber";"";"ammonia";"liquid, pressurized";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"70 – 135";"";"liquid, ~ 120 psia";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Fluororubber";"";"ammonia";"gas";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ammonia";"liquid";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 250";">12";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Glass, Chemical";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";">10";"70 – 212";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Glass, Chemical";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 302";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Nylon";"";"ammonia";"aqueous solution";"7664-41-7";"H3N";"bases";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Nylon";"";"ammonia";"gas";"7664-41-7";"H3N";"bases";"2";"questionable";"100";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Polychloroprene";"";"ammonia";"saturated";"7664-41-7";"H3N";"bases";"1";"recommended";"10";"100 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Polychloroprene";"";"ammonia";"";"7664-41-7";"H3N";"bases";"2";"questionable";"10";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Polychloroprene";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"-27.4";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Polychloroprene";"";"ammonia";"liquid";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"15 – 32";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Polychloroprene";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Polyesters, Glass Fiber-Reinforced";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"10 – 20";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Polyesters, Glass Fiber-Reinforced";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"10 – 30";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Polyesters, Glass Fiber-Reinforced";"";"ammonia";"liquid";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"60 – 70";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Polyethylene (PE)";"";"ammonia";"";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"70 – 150";"";"liquid, no water";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Polymethyl Methacrylate (PMMA)";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Polypropylene (PP)";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"30";"60 – 150";"<6";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
