sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluorine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"warnings";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"";"fluorine";"";"7782-41-4";"F2";"";"3";"not recommended";"100";"70 – 80";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"fluorine";"";"7782-41-4";"F2";"";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Glass, Chemical";"";"fluorine";"";"7782-41-4";"F2";"";"1";"recommended";"100";"70 – 392";"";"no water, hydrogen fluoride";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Nylon";"";"fluorine";"";"7782-41-4";"F2";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polychloroprene";"";"fluorine";"";"7782-41-4";"F2";"";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyesters, Glass Fiber-Reinforced";"";"fluorine";"";"7782-41-4";"F2";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"";"fluorine";"";"7782-41-4";"F2";"";"1";"recommended";"100";"60 – 70";"";"no water, wet";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyethylene (PE)";"";"fluorine";"";"7782-41-4";"F2";"";"2";"questionable";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"19";"Polymethyl Methacrylate (PMMA)";"";"fluorine";"";"7782-41-4";"F2";"";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polypropylene (PP)";"";"fluorine";"";"7782-41-4";"F2";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinyl Chloride (PVC)";"";"fluorine";"";"7782-41-4";"F2";"";"1";"recommended";"100";"70 – 150";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinylidene Fluoride (PVDF)";"Kynar";"fluorine";"";"7782-41-4";"F2";"";"1";"recommended";"100";"60 – 70";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinylidene Fluoride (PVDF)";"";"fluorine";"";"7782-41-4";"F2";"";"2";"questionable";"100";"70 – 100";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinylidene Fluoride (PVDF)";"";"fluorine";"";"7782-41-4";"F2";"";"3";"not recommended";"100";"100 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"25";"Rubber, Butyl (BR)";"";"fluorine";"";"7782-41-4";"F2";"";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Natural (NR)";"";"fluorine";"";"7782-41-4";"F2";"";"3";"not recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Vinyl Ester Resins";"";"fluorine";"gas";"7782-41-4";"F2";"";"1";"recommended";"100";"60 – 80";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"28";"Wood";"";"fluorine";"";"7782-41-4";"F2";"fire hazard";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
