sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfurous acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";"20 – 50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"52 – 102";"20 – 50";"105,117,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<2";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Superferritic Stainless Steel (26-1)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Tantalum";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";"<2";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Titanium, Unalloyed";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 175";"<2";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Zirconium";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<2";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
