sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Maleic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"25 – 35";"100 – 147";"20 – 50";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"25 – 55";"52 – 100";"<20";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"45 – 55";"100 – 147";"20 – 50";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"97 – 147";">50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"15 – 25";"52 – 102";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"25 – 35";"97 – 147";">50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 55";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Brass (>15Zn)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 15";"52 – 102";"<20";"no air, oxygen";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 102";">50";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cast Iron, Gray/ Ductile";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"35 – 45";"52 – 237";"<20";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cast Iron, Gray/ Ductile";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"55 – 65";"52 – 237";"<20";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper/ Bronze/ Low Brass";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 15";"52 – 102";"<20";"no air, oxygen";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper/ Bronze/ Low Brass";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"25 – 35";"52 – 102";"20 – 50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper/ Bronze/ Low Brass";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"45 – 55";"52 – 102";"20 – 50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper-Nickel";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 102";">50";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 235";"<2";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"235 – 282";"20 – 50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"15 – 80";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 235";"<2";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"235 – 282";"20 – 50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"15 – 80";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 235";"<2";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"235 – 282";"20 – 50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"15 – 80";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 235";"<2";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"235 – 282";"20 – 50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"15 – 80";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 235";"<2";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"235 – 282";"20 – 50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"15 – 80";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Nickel (200)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 55";"52 – 237";"<20";"no air, oxygen";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Nickel Cast Iron (15-35Ni)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 102";">50";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Nickel Cast Iron (15-35Ni)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"25 – 35";"52 – 102";"<20";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Nickel-Copper (400)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 45";"52 – 237";"<20";"no air, oxygen";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Ni-Cr-Fe Alloy (600/ 690)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 55";"52 – 237";"<20";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Ni-Mo Alloy (Ni-30Mo; B-2)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"52 – 235";"<2";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Ni-Mo Alloy (Ni-30Mo; B-2)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 15";"235 – 282";"20 – 50";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Ni-Mo Alloy (Ni-30Mo; B-2)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"15 – 80";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Niobium (Columbium)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"<80";"0 – 212";"<2";"";"69,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
