sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 500";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel Cast Iron (15-35Ni)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 125";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel-Copper (400)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Cr-Fe Alloy (600/ 690)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 75";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silicon Cast Iron (14Si)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"52 – 237";"<2";"no air, oxygen";"1,208,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silver";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silver";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"275 – 325";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silver";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"375 – 425";"<20";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silver";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"475 – 752";"<20";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Steels, Carbon/ Low Alloy";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"5 – 15";"25 – 75";"20 – 50";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 175";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Superferritic Stainless Steel (26-1)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 125";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
