sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dimethylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"dimethylamine";"124-40-3";"C2H7N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel (200)";"dimethylamine";"124-40-3";"C2H7N";"amines";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel Cast Iron (15-35Ni)";"dimethylamine";"124-40-3";"C2H7N";"amines";"";">5";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel-Copper (400)";"dimethylamine";"124-40-3";"C2H7N";"amines";"severe corrosion with oxygen ingress";"5 – 15";"25 – 75";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel-Copper (400)";"dimethylamine";"124-40-3";"C2H7N";"amines";"severe corrosion with oxygen ingress";"100";"25 – 75";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Cr-Fe Alloy (600/ 690)";"dimethylamine";"124-40-3";"C2H7N";"amines";"";"100";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Silicon Cast Iron (14Si)";"dimethylamine";"124-40-3";"C2H7N";"amines";"";">5";"52 – 237";"<2";"217,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Steels, Carbon/ Low Alloy";"dimethylamine";"124-40-3";"C2H7N";"amines";"";">5";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Superferritic Stainless Steel (26-1)";"dimethylamine";"124-40-3";"C2H7N";"amines";"";">5";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Tantalum";"dimethylamine";"124-40-3";"C2H7N";"amines";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Titanium, Unalloyed";"dimethylamine";"124-40-3";"C2H7N";"amines";"";"100";"25 – 125";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
