sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluosilicic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"fluosilicic acid";"inorganic acids";"pitting";"15 – 25";"25 – 125";"<2";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"fluosilicic acid";"inorganic acids";"";"15 – 45";"125 – 175";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"fluosilicic acid";"inorganic acids";"";"25 – 45";"75 – 125";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"fluosilicic acid";"inorganic acids";"";"100";"25 – 75";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"fluosilicic acid";"inorganic acids";"pitting";"15 – 25";"25 – 125";"<2";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"fluosilicic acid";"inorganic acids";"";"15 – 45";"125 – 175";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"fluosilicic acid";"inorganic acids";"";"25 – 45";"75 – 125";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"fluosilicic acid";"inorganic acids";"";"85 – 95";"25 – 225";"<20";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"fluosilicic acid";"inorganic acids";"";"100";"175 – 225";"<2";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Brass (>15Zn)";"fluosilicic acid";"inorganic acids";"";"5 – 15";"25 – 125";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Cast Iron, Gray/ Ductile";"fluosilicic acid";"inorganic acids";"";">5";"25 – 75";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Copper/ Bronze/ Low Brass";"fluosilicic acid";"inorganic acids";"";"5 – 15";"175 – 225";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Copper/ Bronze/ Low Brass";"fluosilicic acid";"inorganic acids";"";"5 – 55";"25 – 75";"20 – 50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Copper/ Bronze/ Low Brass";"fluosilicic acid";"inorganic acids";"";"100";"25 – 75";"20 – 50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
