sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cupric chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silicon Cast Iron (14Si)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 15";"52 – 102";">50";"41,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Silicon Cast Iron (14Si)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"25 – 45";"52 – 102";">50";"41,210,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Steels, Carbon/ Low Alloy";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 35";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Tantalum";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 50";"25 – 75";"<2";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Tantalum";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"15 – 50";"25 – 225";"<2";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Titanium, Unalloyed";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"1";"0 – 140";"<2";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Titanium, Unalloyed";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5";"0 – 140";"<2";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Titanium, Unalloyed";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"8";"0 – 68";"<2";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Titanium, Unalloyed";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"8";"68 – 275";">50";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Titanium, Unalloyed";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"10 – 45";"25 – 225";"<20";"41,171,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Zirconium";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 15";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Zirconium";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"25 – 35";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
