sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bromic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper-Nickel";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper-Nickel";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (12Cr)";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"15 – 25";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (12Cr)";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cr Stainless Steel (17Cr)";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (17Cr)";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"100";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Gold/ Platinum";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"5 – 35";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Lead";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel (200)";"bromic acid";"7789-31-3";"BrHO3";"inorganic acids";"5 – 25";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
