sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bromine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 125";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"bromine";"dry";"7726-95-6";"Br2";"";"100";"75 – 175";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 175";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"175 – 500";"<20";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 175";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"175 – 500";"<20";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 175";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"175 – 500";"<20";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 175";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"175 – 500";"<20";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 175";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"175 – 500";"<20";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 225";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel Cast Iron (15-35Ni)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";"<20";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel-Copper (400)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 125";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Cr-Fe Alloy (600/ 690)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 225";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Mo Alloy (Ni-30Mo; B-2)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 175";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ni-Mo Alloy (Ni-30Mo; B-2)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"175 – 500";"<20";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Niobium (Columbium)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"0 – 212";"<2";"20,129,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silicon Cast Iron (14Si)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"52 – 102";">50";"20,129,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Silicon Cast Iron (14Si)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"142 – 192";">50";"20,129,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Silver";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 225";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Steels, Carbon/ Low Alloy";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";"20 – 50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Steels, Carbon/ Low Alloy";"bromine";"dry";"7726-95-6";"Br2";"";"100";"75 – 125";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Tantalum";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 500";"<2";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Titanium, Unalloyed";"bromine";"dry";"7726-95-6";"Br2";"hazardous!";"100";"0 – 75";">50";"20,129,165,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
