sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Citric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Cr Stainless Steel (17Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 55";"25 – 125";"<20";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Cr Stainless Steel (17Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"25 – 55";"175 – 225";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Gold/ Platinum";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Lead";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 35";"25 – 225";"<20";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Lead";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"35 – 60";"25 – 75";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
