sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Succinic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (12Cr)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel Cast Iron (15-35Ni)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel-Copper (400)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Ni-Cr-Fe Alloy (600/ 690)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Mo Alloy (Ni-30Mo; B-2)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"52 – 237";"<20";"100,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silver";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"100";"374 – 425";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Superferritic Stainless Steel (26-1)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Titanium, Unalloyed";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 325";"<2";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Zirconium";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<2";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
