sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"35";"Polyesters, Glass Fiber-Reinforced";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Polymethyl Methacrylate (PMMA)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"37";"Polypropylene (PP)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended; may stress crack";"50";"60 – 125";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"38";"Polypropylene (PP)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"50";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"39";"Polyvinyl Chloride (PVC)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"20";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"40";"Polyvinyl Chloride (PVC)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended; discolored, softened";"50";"100 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"41";"Polyvinylidene Fluoride (PVDF)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"50";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Butyl (BR)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"43";"Rubber, Butyl (BR)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"44";"Rubber, Butyl (BR)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"2";"questionable";"50";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"45";"Rubber, Butyl (BR)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"50";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"46";"Rubber, Natural (NR)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"47";"Rubber, Natural (NR)";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"3";"not recommended";"50";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"48";"Vinyl Ester Resins";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"10 – 25";"50 – 180";"";"";"7";"";"";"";"";"";"";"";"";"";""
"49";"Vinyl Ester Resins";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"25 – 50";"50 – 150";"";"";"7";"";"";"";"";"";"";"";"";"";""
"50";"Vinyl Ester Resins";"";"hydrogen bromide";"hydrobromic acid";"";"10035-10-6";"BrH";"gases";"1";"recommended";"62";"50 – 100";"";"";"7";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
