sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon disulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"75 – 125";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper-Nickel";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Duplex Stainless Steel (25-6-3)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"68 – 115";"<2";"167";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel (200)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel-Copper (400)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"175 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Cr-Fe Alloy (600/ 690)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Niobium (Columbium)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"140";"<2";"220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silicon Cast Iron (14Si)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silver";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Steels, Carbon/ Low Alloy";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Superferritic Stainless Steel (26-1)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Tantalum";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Titanium, Unalloyed";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
