sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydroiodic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 65";"125 – 175";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"15 – 55";"25 – 75";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"25 – 35";"275 – 325";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"45 – 55";"25 – 175";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 125";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 65";"125 – 175";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"25 – 35";"275 – 325";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 125";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Brass (>15Zn)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 55";"25 – 75";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cast Iron, Gray/ Ductile";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 45";"25 – 75";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cast Iron, Gray/ Ductile";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"35 – 45";"25 – 125";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cast Iron, Gray/ Ductile";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 125";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper/ Bronze/ Low Brass";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper/ Bronze/ Low Brass";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"45 – 55";"25 – 225";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Copper/ Bronze/ Low Brass";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Copper-Nickel";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Copper-Nickel";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"45 – 55";"25 – 225";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper-Nickel";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 225";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Cr Stainless Steel (12Cr)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 55";"25 – 75";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Cr Stainless Steel (17Cr)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 55";"25 – 75";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Gold/ Platinum";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 65";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Gold/ Platinum";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 475";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Lead";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"75 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"35 – 65";"25 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"75 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"35 – 65";"25 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"75 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"35 – 65";"25 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"75 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"35 – 65";"25 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 35";"75 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"35 – 65";"25 – 225";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel (200)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
