sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon tetrachloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Cr-Fe Alloy (600/ 690)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Ni-Mo Alloy (Ni-30Mo; B-2)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"75 – 175";"<2";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Ni-Mo Alloy (Ni-30Mo; B-2)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"175 – 325";"<20";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silicon Cast Iron (14Si)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"52 – 237";"<2";"no water";"30,210,218";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silver";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 75";"<20";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Tantalum";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Titanium, Unalloyed";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Zirconium";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
