sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"0 – 212";"<2";"26,166";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Gold/ Platinum";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 75";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 75";">50";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel Cast Iron (15-35Ni)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel-Copper (400)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Cr-Fe Alloy (600/ 690)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
