sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mo Superalloy (Ni-16Cr-16Mo; C276)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum diformate";"";"";"";"";"organic acid salts";"";"100";"25 – 225";"<20";"";"209,219";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum ethylate";"aluminum ethoxide";"";"555-75-9";"C6H15AlO3";"reducing agents";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"";"5";"25 – 75";"<20";"";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum fluosilicate";"";"";"";"";"";"";"15 – 25";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum fluosilicate";"";"";"";"";"";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum nitrate";"";"";"";"";"salts";"";"5 – 15";"25 – 75";"<20";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 175";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum sodium sulfate";"";"";"";"";"salts";"";"5 – 65";"25 – 225";"<20";"";"215,219";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"75 – 275";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aminobenzenesulfonic acid";"";"";"";"";"surfactants & detergents";"";"100";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aminopyridines";"";"";"";"";"heterocyclic organics";"";"100";"140 – 225";"<20";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"";"100";"25 – 500";"<2";"";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium acetate";"";"";"631-61-8";"C2H7NO2";"salts";"";"5 – 15";"25 – 225";"<2";"";"8,217,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium bifluoride";"";"";"";"";"";"";"5 – 15";"25 – 75";"<20";"";"134,217,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
