sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel Cast Iron (15-35Ni)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"pits when wet";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel-Copper (400)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Ni-Cr-Fe Alloy (600/ 690)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Mo Alloy (Ni-30Mo; B-2)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Silicon Cast Iron (14Si)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silver";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Steels, Carbon/ Low Alloy";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"discolors; pits when wet";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Titanium, Unalloyed";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Zirconium";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
