sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methallylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (12Cr)";"methallylamine";"amines";"";"";"5 – 25";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (12Cr)";"methallylamine";"amines";"";"";"5 – 65";"175 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (12Cr)";"methallylamine";"amines";"";"";"35 – 45";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Cr Stainless Steel (12Cr)";"methallylamine";"amines";"";"";"55 – 65";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Cr Stainless Steel (12Cr)";"methallylamine";"amines";"";"";"75 – 85";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Cr Stainless Steel (12Cr)";"methallylamine";"amines";"";"";"100";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Cr Stainless Steel (17Cr)";"methallylamine";"amines";"";"";"5 – 25";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Cr Stainless Steel (17Cr)";"methallylamine";"amines";"";"";"5 – 65";"175 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Cr Stainless Steel (17Cr)";"methallylamine";"amines";"";"";"35 – 45";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Cr Stainless Steel (17Cr)";"methallylamine";"amines";"";"";"55 – 65";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Cr Stainless Steel (17Cr)";"methallylamine";"amines";"";"";"75 – 85";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Cr Stainless Steel (17Cr)";"methallylamine";"amines";"";"";"100";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Gold/ Platinum";"methallylamine";"amines";"";"";"5 – 25";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Gold/ Platinum";"methallylamine";"amines";"";"";"5 – 65";"175 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Gold/ Platinum";"methallylamine";"amines";"";"";"35 – 45";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Gold/ Platinum";"methallylamine";"amines";"";"";"55 – 65";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Gold/ Platinum";"methallylamine";"amines";"";"";"75 – 85";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Gold/ Platinum";"methallylamine";"amines";"";"";"100";"25 – 225";"<2";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Nickel (200)";"methallylamine";"amines";"severe corrosion with oxygen ingress";"";"100";"25 – 75";"<20";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Nickel Cast Iron (15-35Ni)";"methallylamine";"amines";"";"";"5 – 25";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Nickel Cast Iron (15-35Ni)";"methallylamine";"amines";"";"";"5 – 65";"175 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Nickel Cast Iron (15-35Ni)";"methallylamine";"amines";"";"";"35 – 45";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nickel Cast Iron (15-35Ni)";"methallylamine";"amines";"";"";"55 – 65";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel Cast Iron (15-35Ni)";"methallylamine";"amines";"";"";"75 – 85";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel Cast Iron (15-35Ni)";"methallylamine";"amines";"";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
