sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"pitting; stress corrosion cracking";"5 – 40";"25 – 175";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"35 – 40";"175 – 225";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"stress corrosion cracking";"5 – 40";"25 – 225";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Brass (>15Zn)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 35";"25 – 75";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Brass (>15Zn)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"175 – 225";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cast Iron, Gray/ Ductile";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"25 – 75";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper/ Bronze/ Low Brass";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 15";"175 – 225";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper/ Bronze/ Low Brass";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 25";"25 – 75";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper/ Bronze/ Low Brass";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"75 – 175";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper/ Bronze/ Low Brass";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"15 – 25";"175 – 500";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper/ Bronze/ Low Brass";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25 – 40";"175 – 225";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (12Cr)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"crevice attack";"5 – 15";"25 – 75";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (12Cr)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"15 – 25";"175 – 225";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (17Cr)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"crevice attack";"5 – 15";"25 – 225";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Duplex Stainless Steel (25-6-3)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25";"0 – 212";"<2";"";"7,159,215";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Duplex Stainless Steel (25-6-3)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"35";"0 – 221";">50";"";"7,159,215";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Gold/ Platinum";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"25 – 225";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Lead";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 15";"225 – 425";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Lead";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"25 – 225";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"75 – 275";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"75 – 275";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"75 – 275";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"75 – 275";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 40";"75 – 275";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Nickel (200)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 15";"25 – 75";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Nickel (200)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"15 – 25";"125 – 175";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Nickel (200)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25 – 35";"25 – 75";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Nickel (200)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25 – 35";"75 – 125";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Nickel (200)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"35 – 40";"125 – 175";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Nickel Cast Iron (15-35Ni)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 15";"25 – 75";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Nickel Cast Iron (15-35Ni)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"15 – 25";"175 – 225";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Nickel Cast Iron (15-35Ni)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25 – 35";"25 – 75";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Nickel-Copper (400)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 15";"25 – 125";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Nickel-Copper (400)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25 – 35";"25 – 75";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel-Copper (400)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25 – 35";"75 – 125";"20 – 50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel-Copper (400)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"35 – 40";"125 – 175";"20 – 50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
