sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Gluconic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 75";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 75";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 75";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel (200)";"gluconic acid";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 95";"25 – 225";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel-Copper (400)";"gluconic acid";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 95";"25 – 225";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Cr-Fe Alloy (600/ 690)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 75";"<20";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Mo Alloy (Ni-30Mo; B-2)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 75";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Silicon Cast Iron (14Si)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"52 – 237";"<20";"56,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Steels, Carbon/ Low Alloy";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 225";"20 – 50";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Titanium, Unalloyed";"gluconic acid";"organic (weak) acids";"";"45 – 55";"25 – 75";"<2";"56,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
