sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cetyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel Cast Iron (15-35Ni)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel-Copper (400)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 500";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Cr-Fe Alloy (600/ 690)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 500";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Mo Alloy (Ni-30Mo; B-2)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Steels, Carbon/ Low Alloy";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"425 – 475";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Superferritic Stainless Steel (26-1)";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Tantalum";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Titanium, Unalloyed";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Zirconium";"cetyl alcohol";"1-hexadecanol";"36653-82-4";"C16H34O";"alcohols";"100";"176 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
