sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzoic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Cements";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"50";"140";"";"5";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended; over 3 years";">10";"75 – 212";">12";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"benzoic acid";"benzenecarboxylic acid";"saturated";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 200";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"15";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"50";"250 – 400";">12";"10";"";"";"";"";"";"";"";"";"";"";""
"16";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"70 – 80";"250 – 400";"";"10";"";"";"";"";"";"";"";"";"";"";""
"17";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"Teflon FEP";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"any";"0 – 175";">12";"1, 10";"";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended; barrier linings recommended to 149°C (300°F)";"any";"175 – 350";"";"1, 10";"";"";"";"";"";"";"";"";"";"";""
"19";"Fluororubber";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 250";"[>12]";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 200";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Glass, Chemical";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Glass, Chemical";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Nylon";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"2";"questionable";"70";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Nylon";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"3";"not recommended";"80 – 90";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polychloroprene";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Polyethylene (PE)";"";"benzoic acid";"benzenecarboxylic acid";"saturated";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"28";"Polyethylene (PE)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";">10";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"29";"Polyethylene (PE)";"";"benzoic acid";"benzenecarboxylic acid";"saturated";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"30";"Polymethyl Methacrylate (PMMA)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"0 – 200";"<1";"11";"";"";"";"";"";"";"";"";"";"";""
"32";"Polypropylene (PP)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"60 – 150";"<6";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinyl Chloride (PVC)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"150";"";"6";"";"";"";"";"";"";"";"";"";"";""
"35";"Polyvinylidene Fluoride (PVDF)";"Kynar";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 225";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"36";"Polyvinylidene Fluoride (PVDF)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"2";"questionable";"100";"225 – 250";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"37";"Polyvinylidene Fluoride (PVDF)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"3";"not recommended";"100";"250 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"38";"Rubber, Butyl (BR)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Rubber, Butyl (BR)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"3";"not recommended";"10";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Rubber, Natural (NR)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Rubber, Natural (NR)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"3";"not recommended";"10";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Styrene Acrylonitrile Copolymer (SAN)";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Wood";"";"benzoic acid";"benzenecarboxylic acid";"";"65-85-0";"C7H6O2";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
