sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Propionic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"25 – 75";"<2";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"25 – 75";"<2";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"75 – 175";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"175 – 225";">50";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"275 – 325";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Brass (>15Zn)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">5";"25 – 225";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Brass (>15Zn)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"25 – 325";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"25 – 75";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper/ Bronze/ Low Brass";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">5";"25 – 225";"<2";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Copper/ Bronze/ Low Brass";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"25 – 325";"<2";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper-Nickel";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">5";"25 – 175";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper-Nickel";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">5";"175 – 225";">50";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper-Nickel";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"25 – 175";"<20";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper-Nickel";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"175 – 325";">50";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Gold/ Platinum";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"25 – 225";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Gold/ Platinum";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"25 – 325";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Lead";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";">5";"25 – 75";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"55 – 95";"25 – 325";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"85 – 95";"25 – 375";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"25 – 75";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"175 – 225";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"55 – 95";"25 – 325";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"85 – 95";"25 – 375";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"25 – 75";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"175 – 225";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"55 – 95";"25 – 325";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"85 – 95";"25 – 375";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"25 – 75";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"175 – 225";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"55 – 95";"25 – 325";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"85 – 95";"25 – 375";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"25 – 75";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"175 – 225";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"55 – 95";"25 – 325";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"85 – 95";"25 – 375";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"25 – 75";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"100";"175 – 225";">50";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Nickel (200)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"severe corrosion with oxygen ingress";">5";"25 – 75";">50";"";"82,141,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Nickel Cast Iron (15-35Ni)";"propionic acid";"propanoic acid";"1979-09-04";"C3H6O2";"organic (weak) acids";"";"25 – 35";"25 – 75";"<2";"";"82,141,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
