sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonia";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"ammonia";"7664-41-7";"H3N";"bases";"severe corrosion with oxygen ingress";"";"100";"25 – 500";"<2";"8,148,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel Cast Iron (15-35Ni)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel-Copper (400)";"ammonia";"7664-41-7";"H3N";"bases";"severe corrosion with oxygen ingress";"";"100";"25 – 500";"<2";"8,148,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Cr-Fe Alloy (600/ 690)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Niobium (Columbium)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"0 – 212";"<2";"8,148,217,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Silicon Cast Iron (14Si)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"52 – 102";"<20";"8,148,217,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Silver";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 75";"<2";"8,148,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"ammonia";"7664-41-7";"H3N";"bases";"";"stress corrosion cracking";"100";"25 – 500";"<2";"8,148,217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Superferritic Stainless Steel (26-1)";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 500";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Titanium, Unalloyed";"ammonia";"7664-41-7";"H3N";"bases";"";"";"100";"25 – 175";"<2";"8,148,217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
