sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfuryl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"sulfuryl chloride";"";"1";"recommended; weight gain, ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"";"sulfuryl chloride";"";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Glass, Chemical";"";"sulfuryl chloride";"";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Perfluoroalkoxy Resins";"";"sulfuryl chloride";"";"1";"recommended; steady state reached in one week exposure";"100";"32 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Perfluoroalkoxy Resins";"";"sulfuryl chloride";"";"2";"questionable; weight gain, strength loss";"100";"150 – 175";"";"boiling";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Phenolic Resins, Asbestos-Reinforced";"";"sulfuryl chloride";"";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"sulfuryl chloride";"liquid";"3";"not recommended; disintegrated";"100";"100";"";"2024-11-11";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"";"sulfuryl chloride";"";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"";"sulfuryl chloride";"";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"";"sulfuryl chloride";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Butyl (BR)";"";"sulfuryl chloride";"";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Natural (NR)";"";"sulfuryl chloride";"";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Wood";"";"sulfuryl chloride";"";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
