sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methylsulfuric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polychloroprene";"methylsulfuric acid";"organic (weak) acids";"2";"questionable";"10 – 50";"70 – 100";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polychloroprene";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"10 – 50";"100 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"methylsulfuric acid";"organic (weak) acids";"2";"questionable";"100";"70 – 100";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polychloroprene";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"100";"100 – 175";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"methylsulfuric acid";"organic (weak) acids";"1";"recommended; may stress crack; chemical cracking possible";"100";"70 – 150";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polymethyl Methacrylate (PMMA)";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinyl Chloride (PVC)";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinylidene Fluoride (PVDF)";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"100";"70 – 125";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Rubber, Butyl (BR)";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"10 – 50";"70 – 100";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Rubber, Butyl (BR)";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"10 – 50";"100 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Butyl (BR)";"methylsulfuric acid";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Butyl (BR)";"methylsulfuric acid";"organic (weak) acids";"2";"questionable";"100";"150 – 175";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Rubber, Natural (NR)";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"10 – 40";"70 – 212";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Rubber, Natural (NR)";"methylsulfuric acid";"organic (weak) acids";"3";"not recommended";"100";"70 – 175";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
