sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Antimony trifluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"65 – 75";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"75 – 85";"275 – 325";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Lead";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"45 – 75";"25 – 225";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"75 – 85";"225 – 275";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Steels, Carbon/ Low Alloy";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"45 – 55";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Steels, Carbon/ Low Alloy";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"65 – 75";"175 – 225";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Steels, Carbon/ Low Alloy";"antimony trifluoride";"antimony fluoride";"7783-56-4";"F3Sb";"75 – 85";"275 – 325";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
