sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Styrene Acrylonitrile Copolymer (SAN)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Styrene Acrylonitrile Copolymer (SAN)";"butter";"";"";"";"";"foods & beverages";"1";"recommended";"100";"70 – 125";"including oleomargarine";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Styrene Acrylonitrile Copolymer (SAN)";"butyl acetate";"";"";"123-86-4";"C6H12O2";"esters";"3";"not recommended; may dissolve";"any";"0 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Styrene Acrylonitrile Copolymer (SAN)";"butyl alcohol";"1-butanol";"";"71-36-3";"C4H10O";"alcohols";"2";"questionable; tert recommended 21-52°C (70-126°F)";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Styrene Acrylonitrile Copolymer (SAN)";"butyl alcohol";"1-butanol";"";"71-36-3";"C4H10O";"alcohols";"3";"not recommended";"100";"80 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Styrene Acrylonitrile Copolymer (SAN)";"cadmium stearate";"";"";"";"";"organic acid salts";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Styrene Acrylonitrile Copolymer (SAN)";"calcium chloride";"hydrophilite";"saturated";"10043-52-4";"CaCl2";"salts";"1";"recommended";"70";"60 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Styrene Acrylonitrile Copolymer (SAN)";"calcium chloride";"hydrophilite";"";"10043-52-4";"CaCl2";"salts";"1";"recommended";">70";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Styrene Acrylonitrile Copolymer (SAN)";"calcium hydroxide";"";"saturated";"1305-62-0";"CaH2O2";"hydroxides";"1";"recommended";"10";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Styrene Acrylonitrile Copolymer (SAN)";"calcium hypochlorite";"";"";"";"";"salts";"1";"recommended";"100";"70 – 125";"70% chlorine";"1";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Styrene Acrylonitrile Copolymer (SAN)";"calcium oxide";"";"crystal, powders, solids";"1305-78-8";"CaO";"oxides";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Styrene Acrylonitrile Copolymer (SAN)";"carnauba wax";"";"";"";"";"natural products";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Styrene Acrylonitrile Copolymer (SAN)";"carrot juice";"";"";"";"";"foods & beverages";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Styrene Acrylonitrile Copolymer (SAN)";"castor oil";"";"medicine";"";"";"fats & oils";"1";"recommended; also recommended for sulfonated";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Styrene Acrylonitrile Copolymer (SAN)";"catsup";"";"";"";"";"foods & beverages";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
