sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chloric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polychloroprene";"chloric acid";"inorganic acids";"3";"not recommended";"10 – 20";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyethylene (PE)";"chloric acid";"inorganic acids";"1";"recommended";"20";"60 – 70";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyethylene (PE)";"chloric acid";"inorganic acids";"3";"not recommended";"20";"70 – 125";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinyl Chloride (PVC)";"chloric acid";"inorganic acids";"1";"recommended";"20";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Rubber, Butyl (BR)";"chloric acid";"inorganic acids";"1";"recommended";"10";"70 – 212";"1% also";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Rubber, Butyl (BR)";"chloric acid";"inorganic acids";"1";"recommended";"10 – 20";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Natural (NR)";"chloric acid";"inorganic acids";"3";"not recommended; >1% also not recommended";"10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Natural (NR)";"chloric acid";"inorganic acids";"3";"not recommended";"10 – 20";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
