sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Zinc chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Copper-Nickel";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 80";"125 – 175";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Copper-Nickel";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 80";"175 – 325";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Copper-Nickel";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"55 – 80";"25 – 125";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Cr Stainless Steel (12Cr)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"pitting";"5 – 25";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Cr Stainless Steel (12Cr)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 25";"175 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Cr Stainless Steel (12Cr)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 80";"125 – 175";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Cr Stainless Steel (17Cr)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"pitting";"5 – 25";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Cr Stainless Steel (17Cr)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 25";"175 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Cr Stainless Steel (17Cr)";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"25 – 80";"125 – 175";">50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Gold/ Platinum";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 80";"25 – 225";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Lead";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 15";"75 – 225";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Lead";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"5 – 35";"25 – 75";"<2";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Lead";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"15 – 80";"175 – 225";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Lead";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"45 – 55";"25 – 75";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Lead";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"65 – 75";"25 – 75";"20 – 50";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Lead";"zinc chloride";"7646-85-7";"Cl2Zn";"salts";"";"100";"25 – 75";"<20";"210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
