sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Glass, Chemical";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"33";"Glass, Chemical";"benzyl chloride";"(chloromethyl)benzene";"";"100-44-7";"C7H7Cl";"halogenated aromatics";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Glass, Chemical";"beryllium chloride";"";"";"7787-47-5";"BeCl2";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Glass, Chemical";"boric acid";"";"saturated";"";"";"inorganic acids";"1";"recommended";"30";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Glass, Chemical";"bromine";"";"";"7726-95-6";"Br2";"";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Glass, Chemical";"bromoisovaleryl bromide";"";"";"";"";"acid halides";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Glass, Chemical";"bromoisovaleryl urea";"";"";"";"";"";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Glass, Chemical";"butyl acetate";"";"";"123-86-4";"C6H12O2";"esters";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Glass, Chemical";"butyl alcohol";"1-butanol";"";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Glass, Chemical";"butyl chloride";"1-chlorobutane";"";"109-69-3 [25154-42-1]";"C4H9Cl";"alkyl halides";"1";"recommended";"100";"70 – 175";"";"no water; wet; also if acid";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Glass, Chemical";"butyric acid";"butanoic acid";"";"107-92-6";"C4H8O2";"organic (weak) acids";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
