sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenolic Resins";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"21";"Phenolic Resins, Asbestos-Reinforced";"";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"22";"Phenolic Resins, Asbestos-Reinforced";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"23";"Phenolic Resins, Asbestos-Reinforced";"";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"100";"70 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";""
"24";"Phenolic Resins, Asbestos-Reinforced";"";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"25";"Phenolic Resins, Asbestos-Reinforced";"";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"26";"Phenolic Resins, Asbestos-Reinforced";"";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Phenolic Resins, Asbestos-Reinforced";"";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Phenolic Resins, Asbestos-Reinforced";"";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"3";"not recommended; Haveg 61 recommended at 66°C (151°F)";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Phenolic Resins, Asbestos-Reinforced";"";"ammonium sulfate";"";"";"7783-20-2";"H8N2O4S";"salts";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"30";"Phenolic Resins, Asbestos-Reinforced";"";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"31";"Phenolic Resins, Asbestos-Reinforced";"";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"32";"Phenolic Resins, Asbestos-Reinforced";"";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Phenolic Resins, Asbestos-Reinforced";"";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"34";"Phenolic Resins, Asbestos-Reinforced";"";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"35";"Phenolic Resins, Asbestos-Reinforced";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Phenolic Resins, Asbestos-Reinforced";"";"aniline hydrochloride";"benzenamine hydrochloride";"";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"37";"Phenolic Resins, Asbestos-Reinforced";"";"benzaldehyde";"benzenecarboxaldehyde";"";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"38";"Phenolic Resins, Asbestos-Reinforced";"";"benzaldehyde";"benzenecarboxaldehyde";"";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"39";"Phenolic Resins, Asbestos-Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"40";"Phenolic Resins, Asbestos-Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"41";"Phenolic Resins, Asbestos-Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
