sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium persulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"4 – 5";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"10";"68";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"4 – 5";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"10";"68";"20 – 50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Brass (>15Zn)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cast Iron, Gray/ Ductile";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper/ Bronze/ Low Brass";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Copper-Nickel";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (12Cr)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (17Cr)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Duplex Stainless Steel (25-6-3)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"4";"68";"<2";"";"192";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Gold/ Platinum";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 175";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Lead";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 175";"<20";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 125";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 125";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 125";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 125";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 125";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 125";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel Cast Iron (15-35Ni)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel-Copper (400)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Ni-Cr-Fe Alloy (600/ 690)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Mo Alloy (Ni-30Mo; B-2)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 125";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Silicon Cast Iron (14Si)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"52 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Silver";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Steels, Carbon/ Low Alloy";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Superferritic Stainless Steel (26-1)";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Tantalum";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 175";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Titanium, Unalloyed";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"4";"68";"<2";"";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Titanium, Unalloyed";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 65";"<2";"";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Titanium, Unalloyed";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"68";"20 – 50";"saturated at 10%, 20°C (68°F)";"192,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Zirconium";"potassium persulfate";"potassium peroxydisulfate";"7727-21-1";"K2O8S2";"oxidizing agents";"5 – 10";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
