sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<20";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"5 – 95";"52 – 237";"<20";"no air, oxygen";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"5 – 95";"52 – 145";"<20";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"145 – 237";"<20";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 145";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 147";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"5 – 95";"52 – 237";"<20";">0.1% water";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel Cast Iron (15-35Ni)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"5 – 95";"52 – 237";"<20";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel Cast Iron (15-35Ni)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Mo Alloy (Ni-30Mo; B-2)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silicon Cast Iron (14Si)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"5 – 95";"100 – 237";"<20";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">5";"52 – 100";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silicon Cast Iron (14Si)";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Silver";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 147";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Silver";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"637 – 687";"<2";"up to 6700 psi";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"5 – 75";"52 – 237";"<20";"no air, oxygen; no NaCl";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Steels, Carbon/ Low Alloy";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"75 – 85";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Steels, Carbon/ Low Alloy";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";">85";"52 – 237";"<20";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Tantalum";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 147";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Titanium, Unalloyed";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"stress cracks";">5";"52 – 237";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Zirconium";"methyl alcohol";"methanol";"67-56-1";"CH4O";"alcohols";"";"";"100";"52 – 147";"<2";"";"70,127,218";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
