sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferrous chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"ferrous chloride";"iron chloride";"saturated";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"12";"Polymethyl Methacrylate (PMMA)";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"0 – 200";"<1";"11";"";"";"";"";"";"";"";"";"";"";""
"14";"Polypropylene (PP)";"";"ferrous chloride";"iron chloride";"saturated";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";">10";"60 – 150";"<6";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"15";"Polypropylene (PP)";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"60 – 212";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinyl Chloride (PVC)";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyvinylidene Fluoride (PVDF)";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"70 – 275";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"18";"Styrene Acrylonitrile Copolymer (SAN)";"";"ferrous chloride";"iron chloride";"saturated";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Vinyl Ester Resins";"";"ferrous chloride";"iron chloride";"";"7758-94-3";"Cl2Fe";"salts";"1";"recommended";">10";"80 – 212";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
