sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Malonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"25 – 35";"52 – 102";">50";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"45 – 55";"52 – 102";">50";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 55";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 55";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 55";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 55";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 55";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel (200)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"5 – 15";"52 – 102";"<20";"no air, oxygen";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel (200)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"25 – 35";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel-Copper (400)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"5 – 15";"52 – 102";"<20";"no air, oxygen";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"25 – 35";"52 – 102";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"52 – 102";"<20";"no air, oxygen";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Cr-Fe Alloy (600/ 690)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"25 – 35";"52 – 102";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 55";"52 – 237";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"187 – 237";"<2";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silicon Cast Iron (14Si)";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"25 – 35";"187 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Steels, Carbon/ Low Alloy";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"52 – 102";"20 – 50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"25 – 35";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Steels, Carbon/ Low Alloy";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"45 – 55";"52 – 102";">50";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Titanium, Unalloyed";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Titanium, Unalloyed";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 15";"187 – 237";">50";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Zirconium";"malonic acid";"141-82-2";"C3H4O4";"organic (weak) acids";"";"";"5 – 60";"52 – 237";"<20";"";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
